Meta;Zeit [s];Beschleunigung [m/s/s]
22.12.2010;0;-0.9945
Auto-Beschleunigung;0.1;0
N.Gautschi,T.Senti;0.2;1.49175
6.3;0.3;0.9945
m/s^2;0.4;-0.49725
notused;0.5;-0.49725
notused;0.6;0
Masse = 256g|Gegengewicht = 46g|Winkel = 10Grad;0.7;0
;0.8;0.49725
;0.9;-0.49725
;1;0.49725
;1.1;0.49725
;1.2;-0.49725
;1.3;0
;1.4;0
;1.5;0.49725
;1.6;0
;1.7;-0.49725
;1.8;0.49725
;1.9;0
;2;-0.49725
;2.1;0.49725
;2.2;0.49725
;2.3;0
;2.4;-0.49725
;2.5;0
;2.6;0
;2.7;0.49725
;2.8;0.49725
;2.9;-0.9945
;3;0.49725
;3.1;0.49725
;3.2;-0.49725
;3.3;0
;3.4;0
;3.5;0.49725
;3.6;0
;3.7;-0.49725
;3.8;0
;3.9;0.49725
;4;0
;4.1;0
;4.2;0
;4.3;0
;4.4;0.49725
;4.5;0
;4.6;-0.49725
;4.7;0
;4.8;0.49725
