Meta;Zeit [s];Strecke [m]
22.12.2010;0;0.01989
Auto-Strecke;0.1;0
N.Gautschi,T.Senti;0.2;0
6.1;0.3;0.00995
m;0.4;0.02984
notused;0.5;0.02984
notused;0.6;0.03978
Masse = 256g|Gegengewicht = 46g|Winkel = 10Grad;0.7;0.03978
;0.8;0.04972
;0.9;0.05967
;1;0.05967
;1.1;0.07956
;1.2;0.08951
;1.3;0.09945
;1.4;0.1094
;1.5;0.11934
;1.6;0.13923
;1.7;0.14918
;1.8;0.15912
;1.9;0.17901
;2;0.18896
;2.1;0.1989
;2.2;0.21879
;2.3;0.23868
;2.4;0.25857
;2.5;0.26852
;2.6;0.28841
;2.7;0.29835
;2.8;0.32819
;2.9;0.34808
;3;0.35802
;3.1;0.38786
;3.2;0.40775
;3.3;0.42763
;3.4;0.44753
;3.5;0.46742
;3.6;0.49725
;3.7;0.51714
;3.8;0.53703
;3.9;0.55692
;4;0.58676
;4.1;0.60664
;4.2;0.63648
;4.3;0.65637
;4.4;0.68621
;4.5;0.71604
;4.6;0.74588
;4.7;0.76577
;4.8;0.7956
