Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;0.01989;0;-0.9945
Auto-str-ges-bes;0.1;0;-0.1989;0
N.Gautschi,T.Senti;0.2;0;0;1.49175
6;0.3;0.00995;0.09945;0.9945
m|m/s|m/s^2;0.4;0.02984;0.1989;-0.49725
notused;0.5;0.02984;0;-0.49725
notused;0.6;0.03978;0.09945;0
Masse = 256g|Gegengewicht = 46g|Winkel = 10Grad;0.7;0.03978;0;0
;0.8;0.04972;0.09945;0.49725
;0.9;0.05967;0.09945;-0.49725
;1;0.05967;0;0.49725
;1.1;0.07956;0.1989;0.49725
;1.2;0.08951;0.09945;-0.49725
;1.3;0.09945;0.09945;0
;1.4;0.1094;0.09945;0
;1.5;0.11934;0.09945;0.49725
;1.6;0.13923;0.1989;0
;1.7;0.14918;0.09945;-0.49725
;1.8;0.15912;0.09945;0.49725
;1.9;0.17901;0.1989;0
;2;0.18896;0.09945;-0.49725
;2.1;0.1989;0.09945;0.49725
;2.2;0.21879;0.1989;0.49725
;2.3;0.23868;0.1989;0
;2.4;0.25857;0.1989;-0.49725
;2.5;0.26852;0.09945;0
;2.6;0.28841;0.1989;0
;2.7;0.29835;0.09945;0.49725
;2.8;0.32819;0.29835;0.49725
;2.9;0.34808;0.1989;-0.9945
;3;0.35802;0.09945;0.49725
;3.1;0.38786;0.29835;0.49725
;3.2;0.40775;0.1989;-0.49725
;3.3;0.42763;0.1989;0
;3.4;0.44753;0.1989;0
;3.5;0.46742;0.1989;0.49725
;3.6;0.49725;0.29835;0
;3.7;0.51714;0.1989;-0.49725
;3.8;0.53703;0.1989;0
;3.9;0.55692;0.1989;0.49725
;4;0.58676;0.29835;0
;4.1;0.60664;0.1989;0
;4.2;0.63648;0.29835;0
;4.3;0.65637;0.1989;0
;4.4;0.68621;0.29835;0.49725
;4.5;0.71604;0.29835;0
;4.6;0.74588;0.29835;-0.49725
;4.7;0.76577;0.1989;0
;4.8;0.7956;0.29835;0.49725
