Meta;Zeit [s];Strecke [m]
22.12.2010;0;0
Auto-Strecke;0.1;0.01989
N.Gautschi,T.Senti;0.2;0.02984
7.1;0.3;0.02984
m;0.4;0.03978
notused;0.5;0.04972
notused;0.6;0.07956
Masse = 256g|Gegengewicht = 48.5g|Winkel = 10 Grad;0.7;0.08951
;0.8;0.1094
;0.9;0.12929
;1;0.14918
;1.1;0.15912
;1.2;0.18896
;1.3;0.1989
;1.4;0.21879
;1.5;0.27846
;1.6;0.28841
;1.7;0.31824
;1.8;0.35802
;1.9;0.38786
;2;0.42763
;2.1;0.45747
;2.2;0.4873
;2.3;0.52709
;2.4;0.56687
;2.5;0.60664
;2.6;0.64643
;2.7;0.69615
;2.8;0.74588
;2.9;0.78565
