Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;0;0;0.9945
Auto-str-ges-bes;0.1;0.01989;0.1989;0.49725
N.Gautschi,T.Senti;0.2;0.02984;0.09945;-0.9945
7;0.3;0.02984;0;0
m|m/s|m/s^2;0.4;0.03978;0.09945;0.49725
notused;0.5;0.04972;0.09945;0.9945
notused;0.6;0.07956;0.29835;0
Masse = 256g|Gegengewicht = 48.5g|Winkel = 10 Grad;0.7;0.08951;0.09945;-0.49725
;0.8;0.1094;0.1989;0.49725
;0.9;0.12929;0.1989;0
;1;0.14918;0.1989;-0.49725
;1.1;0.15912;0.09945;0.49725
;1.2;0.18896;0.29835;0
;1.3;0.1989;0.09945;-0.49725
;1.4;0.21879;0.1989;2.48625
;1.5;0.27846;0.5967;-0.49725
;1.6;0.28841;0.09945;-1.49175
;1.7;0.31824;0.29835;1.49175
;1.8;0.35802;0.3978;0
;1.9;0.38786;0.29835;0
;2;0.42763;0.3978;0
;2.1;0.45747;0.29835;-0.49725
;2.2;0.4873;0.29835;0.49725
;2.3;0.52709;0.3978;0.49725
;2.4;0.56687;0.3978;0
;2.5;0.60664;0.3978;0
;2.6;0.64643;0.3978;0.49725
;2.7;0.69615;0.49725;0.49725
;2.8;0.74588;0.49725;-0.49725
;2.9;0.78565;0.3978;-0.49725
