Meta;Zeit [s];Strecke [m]
22.12.2010;0;0
Auto-Strecke;0.1;0
N.Gautschi,T.Senti;0.2;0
8.1;0.3;0.00995
m;0.4;0.02984
notused;0.5;0.01989
notused;0.6;0.03978
Masse = 508.31g|Gegengewicht = 91g|Winkel = 10 Grad;0.7;0.02984
;0.8;0.03978
;0.9;0.04972
;1;0.06961
;1.1;0.07956
;1.2;0.08951
;1.3;0.09945
;1.4;0.1094
;1.5;0.12929
;1.6;0.13923
;1.7;0.14918
;1.8;0.17901
;1.9;0.17901
;2;0.18896
;2.1;0.20885
;2.2;0.22873
;2.3;0.23868
;2.4;0.26852
;2.5;0.27846
;2.6;0.31824
;2.7;0.33813
;2.8;0.35802
;2.9;0.37791
;3;0.3978
;3.1;0.42763
;3.2;0.44753
;3.3;0.47736
;3.4;0.49725
;3.5;0.51714
;3.6;0.53703
;3.7;0.56687
;3.8;0.58676
;3.9;0.62654
;4;0.65637
;4.1;0.67626
;4.2;0.70609
;4.3;0.73593
;4.4;0.76577
;4.5;0.80555
