Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;0;0;0
Auto-str-ges-bes;0.1;0;0;0
N.Gautschi,T.Senti;0.2;0;0;0.49725
8;0.3;0.00995;0.09945;0.9945
m|m/s|m/s^2;0.4;0.02984;0.1989;-0.9945
notused;0.5;0.01989;-0.09945;0
notused;0.6;0.03978;0.1989;0
Masse = 508.31g|Gegengewicht = 91g|Winkel = 10 Grad;0.7;0.02984;-0.09945;-0.49725
;0.8;0.03978;0.09945;0.9945
;0.9;0.04972;0.09945;0.49725
;1;0.06961;0.1989;0
;1.1;0.07956;0.09945;-0.49725
;1.2;0.08951;0.09945;0
;1.3;0.09945;0.09945;0
;1.4;0.1094;0.09945;0.49725
;1.5;0.12929;0.1989;0
;1.6;0.13923;0.09945;-0.49725
;1.7;0.14918;0.09945;0.9945
;1.8;0.17901;0.29835;-0.49725
;1.9;0.17901;0;-0.9945
;2;0.18896;0.09945;0.9945
;2.1;0.20885;0.1989;0.49725
;2.2;0.22873;0.1989;-0.49725
;2.3;0.23868;0.09945;0.49725
;2.4;0.26852;0.29835;0
;2.5;0.27846;0.09945;0.49725
;2.6;0.31824;0.3978;0.49725
;2.7;0.33813;0.1989;-0.9945
;2.8;0.35802;0.1989;0
;2.9;0.37791;0.1989;0
;3;0.3978;0.1989;0.49725
;3.1;0.42763;0.29835;0
;3.2;0.44753;0.1989;0
;3.3;0.47736;0.29835;0
;3.4;0.49725;0.1989;-0.49725
;3.5;0.51714;0.1989;0
;3.6;0.53703;0.1989;0.49725
;3.7;0.56687;0.29835;0
;3.8;0.58676;0.1989;0.49725
;3.9;0.62654;0.3978;0.49725
;4;0.65637;0.29835;-0.9945
;4.1;0.67626;0.1989;0
;4.2;0.70609;0.29835;0.49725
;4.3;0.73593;0.29835;0
;4.4;0.76577;0.29835;0.49725
;4.5;0.80555;0.3978;0.49725
