Meta;Zeit [s];Strecke [m]
22.12.2010;0;0.01
Auto-Strecke;0.1;0
N.Gautschi,T.Senti;0.2;0.01
10;0.3;0.01
m;0.4;0.03
notused;0.5;0.03
notused;0.6;0.03
Masse = 265g|Gegengewicht = 90g|Winkel = 20 Grad;0.7;0.05
;0.8;0.04
;0.9;0.05
;1;0.07
;1.1;0.08
;1.2;0.08
;1.3;0.09
;1.4;0.1
;1.5;0.11
;1.6;0.12
;1.7;0.13
;1.8;0.15
;1.9;0.16
;2;0.17
;2.1;0.18
;2.2;0.19
;2.3;0.21
;2.4;0.23
;2.5;0.23
;2.6;0.25
;2.7;0.29
;2.8;0.29
;2.9;0.3
;3;0.33
;3.1;0.35
;3.2;0.36
;3.3;0.37
;3.4;0.4
;3.5;0.42
;3.6;0.43
;3.7;0.45
;3.8;0.47
;3.9;0.5
;4;0.51
;4.1;0.53
;4.2;0.56
;4.3;0.58
;4.4;0.6
;4.5;0.62
;4.6;0.65
;4.7;0.67
;4.8;0.69
;4.9;0.72
;5;0.75
;5.1;0.77
;5.2;0.81
