Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;0.01;0;-0.5
Auto-str-ges-bes;0.1;0;-0.1;0.5
N.Gautschi,T.Senti;0.2;0.01;0.1;0.5
10;0.3;0.01;0;0.5
m|m/s|m/s^2;0.4;0.03;0.2;0
notused;0.5;0.03;0;-1
notused;0.6;0.03;0;1
Masse = 265g|Gegengewicht = 90g|Winkel = 20 Grad;0.7;0.05;0.2;-0.5
;0.8;0.04;-0.1;-0.5
;0.9;0.05;0.1;1.5
;1;0.07;0.2;0
;1.1;0.08;0.1;-1
;1.2;0.08;0;0
;1.3;0.09;0.1;0.5
;1.4;0.1;0.1;0
;1.5;0.11;0.1;0
;1.6;0.12;0.1;0
;1.7;0.13;0.1;0.5
;1.8;0.15;0.2;0
;1.9;0.16;0.1;-0.5
;2;0.17;0.1;0
;2.1;0.18;0.1;0
;2.2;0.19;0.1;0.5
;2.3;0.21;0.2;0.5
;2.4;0.23;0.2;-1
;2.5;0.23;0;0
;2.6;0.25;0.2;2
;2.7;0.29;0.4;-1
;2.8;0.29;0;-1.5
;2.9;0.3;0.1;1.5
;3;0.33;0.3;0.5
;3.1;0.35;0.2;-1
;3.2;0.36;0.1;-0.5
;3.3;0.37;0.1;1
;3.4;0.4;0.3;0.5
;3.5;0.42;0.2;-1
;3.6;0.43;0.1;0
;3.7;0.45;0.2;0.5
;3.8;0.47;0.2;0.5
;3.9;0.5;0.3;-0.5
;4;0.51;0.1;-0.5
;4.1;0.53;0.2;1
;4.2;0.56;0.3;0
;4.3;0.58;0.2;-0.5
;4.4;0.6;0.2;0
;4.5;0.62;0.2;0.5
;4.6;0.65;0.3;0
;4.7;0.67;0.2;-0.5
;4.8;0.69;0.2;0.5
;4.9;0.72;0.3;0.5
;5;0.75;0.3;-0.5
;5.1;0.77;0.2;0.5
;5.2;0.81;0.4;1
