Meta;Zeit [s];Strecke [m]
22.12.2010;0;-0.01
Auto-Strecke;0.1;-0.01
N.Gautschi,T.Senti;0.2;0.01
11.1;0.3;-0.01
m;0.4;0
notused;0.5;0.01
notused;0.6;0.02
Masse = 508.31g|Gegengewicht = 176.5g|Winkel =20 Grad;0.7;0.02
;0.8;0.02
;0.9;0.03
;1;0.02
;1.1;0.03
;1.2;0.04
;1.3;0.05
;1.4;0.04
;1.5;0.05
;1.6;0.06
;1.7;0.06
;1.8;0.07
;1.9;0.07
;2;0.08
;2.1;0.09
;2.2;0.1
;2.3;0.11
;2.4;0.12
;2.5;0.13
;2.6;0.14
;2.7;0.15
;2.8;0.16
;2.9;0.16
;3;0.17
;3.1;0.19
;3.2;0.19
;3.3;0.21
;3.4;0.21
;3.5;0.23
;3.6;0.25
;3.7;0.26
;3.8;0.27
;3.9;0.27
;4;0.29
;4.1;0.3
;4.2;0.32
;4.3;0.34
;4.4;0.35
;4.5;0.36
;4.6;0.37
;4.7;0.39
;4.8;0.4
;4.9;0.42
;5;0.43
;5.1;0.45
;5.2;0.47
;5.3;0.48
;5.4;0.49
;5.5;0.51
;5.6;0.52
;5.7;0.54
;5.8;0.56
;5.9;0.57
;6;0.59
;6.1;0.6
;6.2;0.63
;6.3;0.64
;6.4;0.67
;6.5;0.67
;6.6;0.71
;6.7;0.72
;6.8;0.74
;6.9;0.76
;7;0.78
;7.1;0.8
