Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;-0.01;0;0
Auto-str-ges-bes;0.1;-0.01;0;1
N.Gautschi,T.Senti;0.2;0.01;0.2;-1
11;0.3;-0.01;-0.2;-0.5
m|m/s|m/s^2;0.4;0;0.1;1.5
notused;0.5;0.01;0.1;0
notused;0.6;0.02;0.1;-0.5
Masse = 508.31g|Gegengewicht = 176.5g|Winkel =20 Grad;0.7;0.02;0;-0.5
;0.8;0.02;0;0.5
;0.9;0.03;0.1;-0.5
;1;0.02;-0.1;0
;1.1;0.03;0.1;1
;1.2;0.04;0.1;0
;1.3;0.05;0.1;-1
;1.4;0.04;-0.1;0
;1.5;0.05;0.1;1
;1.6;0.06;0.1;-0.5
;1.7;0.06;0;0
;1.8;0.07;0.1;0
;1.9;0.07;0;0
;2;0.08;0.1;0.5
;2.1;0.09;0.1;0
;2.2;0.1;0.1;0
;2.3;0.11;0.1;0
;2.4;0.12;0.1;0
;2.5;0.13;0.1;0
;2.6;0.14;0.1;0
;2.7;0.15;0.1;0
;2.8;0.16;0.1;-0.5
;2.9;0.16;0;0
;3;0.17;0.1;1
;3.1;0.19;0.2;-0.5
;3.2;0.19;0;0
;3.3;0.21;0.2;0
;3.4;0.21;0;0
;3.5;0.23;0.2;1
;3.6;0.25;0.2;-0.5
;3.7;0.26;0.1;-0.5
;3.8;0.27;0.1;-0.5
;3.9;0.27;0;0.5
;4;0.29;0.2;0.5
;4.1;0.3;0.1;0
;4.2;0.32;0.2;0.5
;4.3;0.34;0.2;-0.5
;4.4;0.35;0.1;-0.5
;4.5;0.36;0.1;0
;4.6;0.37;0.1;0.5
;4.7;0.39;0.2;0
;4.8;0.4;0.1;0
;4.9;0.42;0.2;0
;5;0.43;0.1;0
;5.1;0.45;0.2;0.5
;5.2;0.47;0.2;-0.5
;5.3;0.48;0.1;-0.5
;5.4;0.49;0.1;0.5
;5.5;0.51;0.2;0
;5.6;0.52;0.1;0
;5.7;0.54;0.2;0.5
;5.8;0.56;0.2;-0.5
;5.9;0.57;0.1;0
;6;0.59;0.2;0
;6.1;0.6;0.1;0.5
;6.2;0.63;0.3;0
;6.3;0.64;0.1;0
;6.4;0.67;0.3;-0.5
;6.5;0.67;0;0.5
;6.6;0.71;0.4;0.5
;6.7;0.72;0.1;-1
;6.8;0.74;0.2;0.5
;6.9;0.76;0.2;0
;7;0.78;0.2;0
;7.1;0.8;0.2;0
