Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;0;0;0.5
Auto-str-ges-bes;0.1;0.01;0.1;1
N.Gautschi,T.Senti;0.2;0.03;0.2;0
12;0.3;0.04;0.1;-1
m|m/s|m/s^2;0.4;0.04;0;0
notused;0.5;0.05;0.1;0.5
notused;0.6;0.06;0.1;0
Masse = 760.75g|Gegengewicht = 272 g|Winkel = 20 Grad;0.7;0.07;0.1;1
;0.8;0.1;0.3;-0.5
;0.9;0.1;0;-0.5
;1;0.12;0.2;1
;1.1;0.14;0.2;-0.5
;1.2;0.15;0.1;0.5
;1.3;0.18;0.3;0.5
;1.4;0.2;0.2;-1
;1.5;0.21;0.1;1
;1.6;0.25;0.4;-0.5
;1.7;0.25;0;0
;1.8;0.29;0.4;1.5
;1.9;0.32;0.3;-1
;2;0.34;0.2;0
;2.1;0.37;0.3;0.5
;2.2;0.4;0.3;0
;2.3;0.43;0.3;0.5
;2.4;0.47;0.4;-0.5
;2.5;0.49;0.2;0
;2.6;0.53;0.4;0.5
;2.7;0.56;0.3;-0.5
;2.8;0.59;0.3;0.5
;2.9;0.63;0.4;0.5
;3;0.67;0.4;0
;3.1;0.71;0.4;0
;3.2;0.75;0.4;0
;3.3;0.79;0.4;0
