Meta;Zeit [s];Beschleunigung [m/s/s]
22.12.2010;0;0
Auto-Beschleunigung;0.1;0
N.Gautschi,T.Senti;0.2;0.9945
1.3;0.3;-0.9945
m/s^2;0.4;-0.9945
notused;0.5;1.989
notused;0.6;-0.9945
Masse = 256g|Gegengewicht = 23.5g|Winkel = 5 Grad;0.7;0
;0.8;0.49725
;0.9;-0.49725
;1;0
;1.1;0.49725
;1.2;-0.49725
;1.3;0
;1.4;0.49725
;1.5;-0.49725
;1.6;0.49725
;1.7;-0.49725
;1.8;0.49725
;1.9;-0.49725
;2;0
;2.1;0.9945
;2.2;0
;2.3;-0.49725
;2.4;-0.49725
;2.5;0.49725
;2.6;0
;2.7;0
;2.8;0
;2.9;-0.49725
;3;0.49725
;3.1;0
;3.2;0
;3.3;0
;3.4;-0.49725
;3.5;0.49725
;3.6;0
;3.7;0
;3.8;0
;3.9;0
;4;0.49725
;4.1;-0.49725
;4.2;0
;4.3;0
;4.4;0
;4.5;0.49725
;4.6;0
;4.7;-0.49725
;4.8;0
;4.9;0
;5;0.49725
;5.1;-0.49725
;5.2;0
;5.3;0.49725
;5.4;-0.9945
;5.5;0.9945
;5.6;0
;5.7;-1.49175
;5.8;1.49175
;5.9;0.49725
;6;-1.49175
;6.1;0.9945
;6.2;0.49725
;6.3;-0.49725
;6.4;-0.49725
;6.5;-0.49725
;6.6;0.9945
;6.7;0.49725
;6.8;-0.9945
;6.9;0
;7;0.49725
;7.1;0
;7.2;-0.49725
;7.3;0
;7.4;0
;7.5;0.49725
;7.6;0
;7.7;-0.49725
;7.8;0.49725
;7.9;0
;8;-0.49725
;8.1;0
;8.2;0.49725
;8.3;0
;8.4;0
;8.5;-0.49725
;8.6;0
;8.7;0.49725
;8.8;0
;8.9;0
;9;0
;9.1;-0.49725
;9.2;0
;9.3;0.49725
;9.4;0
;9.5;0
;9.6;-0.49725
;9.7;0
;9.8;0.49725
;9.9;0
;10;-0.49725
;10.1;0
;10.2;0.49725
;10.3;0
;10.4;0
;10.5;0
;10.6;0
;10.7;-0.49725
;10.8;0
;10.9;0.49725
;11;0
;11.1;0
;11.2;-0.49725
;11.3;0
;11.4;0.49725
;11.5;0
;11.6;-0.49725
;11.7;0
;11.8;0.49725
;11.9;-0.49725
;12;0.49725
;12.1;0
;12.2;-0.49725
;12.3;0.49725
;12.4;-0.49725
;12.5;0
;12.6;0
;12.7;0
;12.8;0.49725
;12.9;0
;13;-0.49725
;13.1;-0.49725
;13.2;0.49725
;13.3;0
;13.4;-0.9945
;13.5;76.07925
;13.6;76.5765
