Meta;Zeit [s];Geschwindigkeit [m/s]
22.12.2010;0;0
Auto-Geschwindigkeit;0.1;0
N.Gautschi,T.Senti;0.2;0
2.2;0.3;0
m/s;0.4;0.09945
notused;0.5;0
notused;0.6;-0.09945
Masse = 256g|Gegengewicht = 23.5g|Winkel = 5 Grad;0.7;0
;0.8;0.1989
;0.9;-0.1989
;1;0.09945
;1.1;0.09945
;1.2;-0.09945
;1.3;0.09945
;1.4;-0.09945
;1.5;0.1989
;1.6;0
;1.7;-0.09945
;1.8;0.1989
;1.9;0
;2;-0.09945
;2.1;0
;2.2;0.09945
;2.3;0.09945
;2.4;0
;2.5;0.09945
;2.6;0
;2.7;0
;2.8;0
;2.9;0.09945
;3;0.09945
;3.1;0.09945
;3.2;0
;3.3;0
;3.4;0.09945
;3.5;0.09945
;3.6;0
;3.7;0
;3.8;0.09945
;3.9;0.09945
;4;0.09945
;4.1;0
;4.2;0.09945
;4.3;0
;4.4;0.09945
;4.5;0.09945
;4.6;0
;4.7;0.09945
;4.8;0.09945
;4.9;0.09945
;5;0
;5.1;0.09945
;5.2;0.09945
;5.3;0
;5.4;0
;5.5;0.1989
;5.6;0.09945
;5.7;-0.09945
;5.8;0.1989
;5.9;0.09945
;6;0
;6.1;0.09945
;6.2;0.09945
;6.3;0.09945
;6.4;0.09945
;6.5;0.09945
;6.6;0.09945
;6.7;0
;6.8;0.09945
;6.9;0.09945
;7;0
;7.1;0.09945
;7.2;0.09945
;7.3;0.09945
;7.4;0.09945
;7.5;0.09945
;7.6;0.09945
;7.7;0
;7.8;0.09945
;7.9;0.09945
;8;0.09945
;8.1;0.09945
;8.2;0.09945
;8.3;0.09945
;8.4;0
;8.5;0.09945
;8.6;0.09945
;8.7;0.09945
;8.8;0.09945
;8.9;0.09945
;9;0.09945
;9.1;0.09945
;9.2;0
;9.3;0.1989
;9.4;0
;9.5;0.09945
;9.6;0.09945
;9.7;0
;9.8;0.1989
;9.9;0
;10;0.09945
;10.1;0.09945
;10.2;0.09945
;10.3;0.09945
;10.4;0
;10.5;0.09945
;10.6;0.09945
;10.7;0.09945
;10.8;0.09945
;10.9;0.09945
;11;0
;11.1;0.09945
;11.2;0.09945
;11.3;0.09945
;11.4;0
;11.5;0.09945
;11.6;0.09945
;11.7;0.09945
;11.8;0.09945
;11.9;0
;12;0.1989
;12.1;0
;12.2;0.09945
;12.3;0.1989
;12.4;-0.09945
;12.5;0.09945
;12.6;0
;12.7;0.1989
;12.8;15.01695
;12.9;0
