Meta;Zeit [s];Strecke [m]
22.12.2010;0;-0.00995
Auto-Strecke;0.1;-0.00995
N.Gautschi,T.Senti;0.2;-0.00995
2.1;0.3;-0.00995
m;0.4;0
notused;0.5;0
notused;0.6;-0.00995
Masse = 256g|Gegengewicht = 23.5g|Winkel = 5 Grad;0.7;-0.00995
;0.8;0.00995
;0.9;-0.00995
;1;0
;1.1;0.00995
;1.2;0
;1.3;0.00995
;1.4;0
;1.5;0.01989
;1.6;0.01989
;1.7;0.00995
;1.8;0.02984
;1.9;0.02984
;2;0.01989
;2.1;0.01989
;2.2;0.02984
;2.3;0.03978
;2.4;0.03978
;2.5;0.04972
;2.6;0.04972
;2.7;0.04972
;2.8;0.04972
;2.9;0.05967
;3;0.06961
;3.1;0.07956
;3.2;0.07956
;3.3;0.07956
;3.4;0.08951
;3.5;0.09945
;3.6;0.09945
;3.7;0.09945
;3.8;0.1094
;3.9;0.11934
;4;0.12929
;4.1;0.12929
;4.2;0.13923
;4.3;0.13923
;4.4;0.14918
;4.5;0.15912
;4.6;0.15912
;4.7;0.16907
;4.8;0.17901
;4.9;0.18896
;5;0.18896
;5.1;0.1989
;5.2;0.20885
;5.3;0.20885
;5.4;0.20885
;5.5;0.22873
;5.6;0.23868
;5.7;0.22873
;5.8;0.24863
;5.9;0.25857
;6;0.25857
;6.1;0.26852
;6.2;0.27846
;6.3;0.28841
;6.4;0.29835
;6.5;0.3083
;6.6;0.31824
;6.7;0.31824
;6.8;0.32819
;6.9;0.33813
;7;0.33813
;7.1;0.34808
;7.2;0.35802
;7.3;0.36797
;7.4;0.37791
;7.5;0.38786
;7.6;0.3978
;7.7;0.3978
;7.8;0.40775
;7.9;0.41769
;8;0.42763
;8.1;0.43758
;8.2;0.44753
;8.3;0.45747
;8.4;0.45747
;8.5;0.46742
;8.6;0.47736
;8.7;0.4873
;8.8;0.49725
;8.9;0.5072
;9;0.51714
;9.1;0.52709
;9.2;0.52709
;9.3;0.54698
;9.4;0.54698
;9.5;0.55692
;9.6;0.56687
;9.7;0.56687
;9.8;0.58676
;9.9;0.58676
;10;0.5967
;10.1;0.60664
;10.2;0.61659
;10.3;0.62654
;10.4;0.62654
;10.5;0.63648
;10.6;0.64643
;10.7;0.65637
;10.8;0.66631
;10.9;0.67626
;11;0.67626
;11.1;0.68621
;11.2;0.69615
;11.3;0.70609
;11.4;0.70609
;11.5;0.71604
;11.6;0.72598
;11.7;0.73593
;11.8;0.74588
;11.9;0.74588
;12;0.76577
;12.1;0.76577
;12.2;0.77571
;12.3;0.7956
;12.4;0.78565
;12.5;0.7956
;12.6;0.7956
;12.7;0.81549
;12.8;2.31719
;12.9;2.31719
