Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;-0.00995;0;0
Auto-str-ges-bes;0.1;-0.00995;0;0
N.Gautschi,T.Senti;0.2;-0.00995;0;0
2;0.3;-0.00995;0;0.49725
m|m/s|m/s^2;0.4;0;0.09945;0
notused;0.5;0;0;-0.9945
notused;0.6;-0.00995;-0.09945;0
Masse = 256g|Gegengewicht = 23.5g|Winkel = 5 Grad;0.7;-0.00995;0;1.49175
;0.8;0.00995;0.1989;-0.9945
;0.9;-0.00995;-0.1989;-0.49725
;1;0;0.09945;1.49175
;1.1;0.00995;0.09945;-0.9945
;1.2;0;-0.09945;0
;1.3;0.00995;0.09945;0
;1.4;0;-0.09945;0.49725
;1.5;0.01989;0.1989;0.49725
;1.6;0.01989;0;-1.49175
;1.7;0.00995;-0.09945;0.9945
;1.8;0.02984;0.1989;0.49725
;1.9;0.02984;0;-1.49175
;2;0.01989;-0.09945;0
;2.1;0.01989;0;0.9945
;2.2;0.02984;0.09945;0.49725
;2.3;0.03978;0.09945;-0.49725
;2.4;0.03978;0;0
;2.5;0.04972;0.09945;0
;2.6;0.04972;0;-0.49725
;2.7;0.04972;0;0
;2.8;0.04972;0;0.49725
;2.9;0.05967;0.09945;0.49725
;3;0.06961;0.09945;0
;3.1;0.07956;0.09945;-0.49725
;3.2;0.07956;0;-0.49725
;3.3;0.07956;0;0.49725
;3.4;0.08951;0.09945;0.49725
;3.5;0.09945;0.09945;-0.49725
;3.6;0.09945;0;-0.49725
;3.7;0.09945;0;0.49725
;3.8;0.1094;0.09945;0.49725
;3.9;0.11934;0.09945;0
;4;0.12929;0.09945;-0.49725
;4.1;0.12929;0;0
;4.2;0.13923;0.09945;0
;4.3;0.13923;0;0
;4.4;0.14918;0.09945;0.49725
;4.5;0.15912;0.09945;-0.49725
;4.6;0.15912;0;0
;4.7;0.16907;0.09945;0.49725
;4.8;0.17901;0.09945;0
;4.9;0.18896;0.09945;-0.49725
;5;0.18896;0;0
;5.1;0.1989;0.09945;0.49725
;5.2;0.20885;0.09945;-0.49725
;5.3;0.20885;0;-0.49725
;5.4;0.20885;0;0.9945
;5.5;0.22873;0.1989;0.49725
;5.6;0.23868;0.09945;-1.49175
;5.7;0.22873;-0.09945;0.49725
;5.8;0.24863;0.1989;0.9945
;5.9;0.25857;0.09945;-0.9945
;6;0.25857;0;0
;6.1;0.26852;0.09945;0.49725
;6.2;0.27846;0.09945;0
;6.3;0.28841;0.09945;0
;6.4;0.29835;0.09945;0
;6.5;0.3083;0.09945;0
;6.6;0.31824;0.09945;-0.49725
;6.7;0.31824;0;0
;6.8;0.32819;0.09945;0.49725
;6.9;0.33813;0.09945;-0.49725
;7;0.33813;0;0
;7.1;0.34808;0.09945;0.49725
;7.2;0.35802;0.09945;0
;7.3;0.36797;0.09945;0
;7.4;0.37791;0.09945;0
;7.5;0.38786;0.09945;0
;7.6;0.3978;0.09945;-0.49725
;7.7;0.3978;0;0
;7.8;0.40775;0.09945;0.49725
;7.9;0.41769;0.09945;0
;8;0.42763;0.09945;0
;8.1;0.43758;0.09945;0
;8.2;0.44753;0.09945;0
;8.3;0.45747;0.09945;-0.49725
;8.4;0.45747;0;0
;8.5;0.46742;0.09945;0.49725
;8.6;0.47736;0.09945;0
;8.7;0.4873;0.09945;0
;8.8;0.49725;0.09945;0
;8.9;0.5072;0.09945;0
;9;0.51714;0.09945;0
;9.1;0.52709;0.09945;-0.49725
;9.2;0.52709;0;0.49725
;9.3;0.54698;0.1989;0
;9.4;0.54698;0;-0.49725
;9.5;0.55692;0.09945;0.49725
;9.6;0.56687;0.09945;-0.49725
;9.7;0.56687;0;0.49725
;9.8;0.58676;0.1989;0
;9.9;0.58676;0;-0.49725
;10;0.5967;0.09945;0.49725
;10.1;0.60664;0.09945;0
;10.2;0.61659;0.09945;0
;10.3;0.62654;0.09945;-0.49725
;10.4;0.62654;0;0
;10.5;0.63648;0.09945;0.49725
;10.6;0.64643;0.09945;0
;10.7;0.65637;0.09945;0
;10.8;0.66631;0.09945;0
;10.9;0.67626;0.09945;-0.49725
;11;0.67626;0;0
;11.1;0.68621;0.09945;0.49725
;11.2;0.69615;0.09945;0
;11.3;0.70609;0.09945;-0.49725
;11.4;0.70609;0;0
;11.5;0.71604;0.09945;0.49725
;11.6;0.72598;0.09945;0
;11.7;0.73593;0.09945;0
;11.8;0.74588;0.09945;-0.49725
;11.9;0.74588;0;0.49725
;12;0.76577;0.1989;0
;12.1;0.76577;0;-0.49725
;12.2;0.77571;0.09945;0.9945
;12.3;0.7956;0.1989;-0.9945
;12.4;0.78565;-0.09945;-0.49725
;12.5;0.7956;0.09945;0.49725
;12.6;0.7956;0;0.49725
;12.7;0.81549;0.1989;75.08475
;12.8;2.31719;15.01695;-0.9945
;12.9;2.31719;0;-75.08475
