Meta;Zeit [s];Beschleunigung [m/s/s]
22.12.2010;0;3.924
Auto-Beschleunigung;0.05;-3.924
N.Gautschi,T.Senti;0.1;-3.924
3.3;0.15;7.848
m/s^2;0.2;-1.962
notused;0.25;-1.962
notused;0.3;1.962
Masse = 256g|Gegengewicht = 26g|Winkel = 5 Grad;0.35;1.962
;0.4;1.962
;0.45;-5.886
;0.5;1.962
;0.55;1.962
;0.6;-1.962
;0.65;0
;0.7;0
;0.75;1.962
;0.8;0
;0.85;0
;0.9;-1.962
;0.95;0
;1;1.962
;1.05;0
;1.1;0
;1.15;0
;1.2;-1.962
;1.25;1.962
;1.3;1.962
;1.35;-1.962
;1.4;0
;1.45;0
;1.5;0
;1.55;0
;1.6;0
;1.65;1.962
;1.7;0
;1.75;0
;1.8;1.962
;1.85;-1.962
;1.9;-1.962
;1.95;0
;2;1.962
;2.05;0
;2.1;0
;2.15;0
;2.2;0
;2.25;0
;2.3;0
;2.35;1.962
;2.4;-1.962
;2.45;0
;2.5;1.962
;2.55;-1.962
;2.6;0
;2.65;0
;2.7;1.962
;2.75;0
;2.8;0
;2.85;0
;2.9;-1.962
;2.95;1.962
;3;1.962
;3.05;-1.962
;3.1;-1.962
;3.15;3.924
;3.2;0
;3.25;-1.962
