Meta;Zeit [s];Geschwindigkeit [m/s]
22.12.2010;0;0
Auto-Geschwindigkeit;0.05;0.3924
N.Gautschi,T.Senti;0.1;-0.3924
3.2;0.15;0
m/s;0.2;0.3924
notused;0.25;-0.1962
notused;0.3;0.1962
Masse = 256g|Gegengewicht = 26g|Winkel = 5 Grad;0.35;0
;0.4;0.3924
;0.45;0.1962
;0.5;-0.1962
;0.55;0.3924
;0.6;0
;0.65;0.1962
;0.7;0
;0.75;0.1962
;0.8;0.1962
;0.85;0.1962
;0.9;0.1962
;0.95;0
;1;0.1962
;1.05;0.1962
;1.1;0.1962
;1.15;0.1962
;1.2;0.1962
;1.25;0
;1.3;0.3924
;1.35;0.1962
;1.4;0.1962
;1.45;0.1962
;1.5;0.1962
;1.55;0.1962
;1.6;0.1962
;1.65;0.1962
;1.7;0.3924
;1.75;0.1962
;1.8;0.3924
;1.85;0.3924
;1.9;0.1962
;1.95;0.1962
;2;0.1962
;2.05;0.3924
;2.1;0.1962
;2.15;0.3924
;2.2;0.1962
;2.25;0.3924
;2.3;0.1962
;2.35;0.3924
;2.4;0.3924
;2.45;0.1962
;2.5;0.3924
;2.55;0.3924
;2.6;0.1962
;2.65;0.3924
;2.7;0.1962
;2.75;0.5886
;2.8;0.1962
;2.85;0.5886
;2.9;0.1962
;2.95;0.3924
;3;0.3924
;3.05;0.5886
;3.1;0.1962
;3.15;0.3924
;3.2;0.5886
;3.25;0.3924
