Meta;Zeit [s];Strecke [m]
22.12.2010;0;0
Auto-Strecke;0.05;0.01962
N.Gautschi,T.Senti;0.1;0
3.1;0.15;0
m;0.2;0.01962
notused;0.25;0.00981
notused;0.3;0.01962
Masse = 256g|Gegengewicht = 26g|Winkel = 5 Grad;0.35;0.01962
;0.4;0.03924
;0.45;0.04905
;0.5;0.03924
;0.55;0.05886
;0.6;0.05886
;0.65;0.06867
;0.7;0.06867
;0.75;0.07848
;0.8;0.08829
;0.85;0.0981
;0.9;0.10791
;0.95;0.10791
;1;0.11772
;1.05;0.12753
;1.1;0.13734
;1.15;0.14715
;1.2;0.15696
;1.25;0.15696
;1.3;0.17658
;1.35;0.18639
;1.4;0.1962
;1.45;0.20601
;1.5;0.21582
;1.55;0.22563
;1.6;0.23544
;1.65;0.24525
;1.7;0.26487
;1.75;0.27468
;1.8;0.2943
;1.85;0.31392
;1.9;0.32373
;1.95;0.33354
;2;0.34335
;2.05;0.36297
;2.1;0.37278
;2.15;0.3924
;2.2;0.40221
;2.25;0.42183
;2.3;0.43164
;2.35;0.45126
;2.4;0.47088
;2.45;0.48069
;2.5;0.50031
;2.55;0.51993
;2.6;0.52974
;2.65;0.54936
;2.7;0.55917
;2.75;0.5886
;2.8;0.59841
;2.85;0.62784
;2.9;0.63765
;2.95;0.65727
;3;0.67689
;3.05;0.70632
;3.1;0.71613
;3.15;0.73575
;3.2;0.76518
;3.25;0.7848
