Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;0;0;3.924
Auto-str-ges-bes;0.05;0.01962;0.3924;-3.924
N.Gautschi,T.Senti;0.1;0;-0.3924;-3.924
3;0.15;0;0;7.848
m|m/s|m/s^2;0.2;0.01962;0.3924;-1.962
notused;0.25;0.00981;-0.1962;-1.962
notused;0.3;0.01962;0.1962;1.962
Masse = 256g|Gegengewicht = 26g|Winkel = 5 Grad;0.35;0.01962;0;1.962
;0.4;0.03924;0.3924;1.962
;0.45;0.04905;0.1962;-5.886
;0.5;0.03924;-0.1962;1.962
;0.55;0.05886;0.3924;1.962
;0.6;0.05886;0;-1.962
;0.65;0.06867;0.1962;0
;0.7;0.06867;0;0
;0.75;0.07848;0.1962;1.962
;0.8;0.08829;0.1962;0
;0.85;0.0981;0.1962;0
;0.9;0.10791;0.1962;-1.962
;0.95;0.10791;0;0
;1;0.11772;0.1962;1.962
;1.05;0.12753;0.1962;0
;1.1;0.13734;0.1962;0
;1.15;0.14715;0.1962;0
;1.2;0.15696;0.1962;-1.962
;1.25;0.15696;0;1.962
;1.3;0.17658;0.3924;1.962
;1.35;0.18639;0.1962;-1.962
;1.4;0.1962;0.1962;0
;1.45;0.20601;0.1962;0
;1.5;0.21582;0.1962;0
;1.55;0.22563;0.1962;0
;1.6;0.23544;0.1962;0
;1.65;0.24525;0.1962;1.962
;1.7;0.26487;0.3924;0
;1.75;0.27468;0.1962;0
;1.8;0.2943;0.3924;1.962
;1.85;0.31392;0.3924;-1.962
;1.9;0.32373;0.1962;-1.962
;1.95;0.33354;0.1962;0
;2;0.34335;0.1962;1.962
;2.05;0.36297;0.3924;0
;2.1;0.37278;0.1962;0
;2.15;0.3924;0.3924;0
;2.2;0.40221;0.1962;0
;2.25;0.42183;0.3924;0
;2.3;0.43164;0.1962;0
;2.35;0.45126;0.3924;1.962
;2.4;0.47088;0.3924;-1.962
;2.45;0.48069;0.1962;0
;2.5;0.50031;0.3924;1.962
;2.55;0.51993;0.3924;-1.962
;2.6;0.52974;0.1962;0
;2.65;0.54936;0.3924;0
;2.7;0.55917;0.1962;1.962
;2.75;0.5886;0.5886;0
;2.8;0.59841;0.1962;0
;2.85;0.62784;0.5886;0
;2.9;0.63765;0.1962;-1.962
;2.95;0.65727;0.3924;1.962
;3;0.67689;0.3924;1.962
;3.05;0.70632;0.5886;-1.962
;3.1;0.71613;0.1962;-1.962
;3.15;0.73575;0.3924;3.924
;3.2;0.76518;0.5886;0
;3.25;0.7848;0.3924;-1.962
