Meta;Zeit [s];Strecke [m];Geschwindigkeit [m/s];Beschleunigung [m/s/s]
22.12.2010;0;0;0;-0.49725
Auto-str-ges-bes;0.1;-0.00995;-0.09945;0.9945
N.Gautschi,T.Senti;0.2;0.00995;0.1989;-0.49725
4;0.3;-0.00995;-0.1989;-0.9945
m|m/s|m/s^2;0.4;-0.00995;0;1.49175
notused;0.5;0;0.09945;0.49725
notused;0.6;0.00995;0.09945;0
Masse = 508.31g|Gegengewicht = 47g|Winkel = 5 Grad;0.7;0.01989;0.09945;-0.49725
;0.8;0.01989;0;-0.49725
;0.9;0.01989;0;0
;1;0.01989;0;0
;1.1;0.01989;0;0.9945
;1.2;0.03978;0.1989;0.49725
;1.3;0.04972;0.09945;-0.9945
;1.4;0.04972;0;0
;1.5;0.05967;0.09945;0
;1.6;0.05967;0;0
;1.7;0.06961;0.09945;0
;1.8;0.06961;0;0
;1.9;0.07956;0.09945;0.49725
;2;0.08951;0.09945;0
;2.1;0.09945;0.09945;0
;2.2;0.1094;0.09945;0
;2.3;0.11934;0.09945;0
;2.4;0.12929;0.09945;-0.49725
;2.5;0.12929;0;0
;2.6;0.13923;0.09945;0.49725
;2.7;0.14918;0.09945;0.49725
;2.8;0.16907;0.1989;-0.49725
;2.9;0.16907;0;0
;3;0.18896;0.1989;0
;3.1;0.18896;0;0
;3.2;0.20885;0.1989;0
;3.3;0.20885;0;0
;3.4;0.22873;0.1989;0.9945
;3.5;0.24863;0.1989;-0.9945
;3.6;0.24863;0;-0.49725
;3.7;0.25857;0.09945;0.49725
;3.8;0.26852;0.09945;0.49725
;3.9;0.28841;0.1989;0
;4;0.29835;0.09945;-0.49725
;4.1;0.3083;0.09945;0.49725
;4.2;0.32819;0.1989;0.49725
;4.3;0.34808;0.1989;-0.49725
;4.4;0.35802;0.09945;-0.49725
;4.5;0.36797;0.09945;0.49725
;4.6;0.38786;0.1989;0
;4.7;0.3978;0.09945;-0.49725
;4.8;0.40775;0.09945;0.49725
;4.9;0.42763;0.1989;0
;5;0.43758;0.09945;0
;5.1;0.45747;0.1989;0
;5.2;0.46742;0.09945;-0.49725
;5.3;0.47736;0.09945;0.49725
;5.4;0.49725;0.1989;0
;5.5;0.5072;0.09945;0
;5.6;0.52709;0.1989;0.49725
;5.7;0.54698;0.1989;-0.49725
;5.8;0.55692;0.09945;0
;5.9;0.57681;0.1989;0
;6;0.58676;0.09945;0
;6.1;0.60664;0.1989;0.49725
;6.2;0.62654;0.1989;-0.49725
;6.3;0.63648;0.09945;0
;6.4;0.65637;0.1989;0
;6.5;0.66631;0.09945;0
;6.6;0.68621;0.1989;0.49725
;6.7;0.70609;0.1989;0
;6.8;0.72598;0.1989;0
;6.9;0.74588;0.1989;-0.49725
;7;0.75582;0.09945;0
;7.1;0.77571;0.1989;0
;7.2;0.78565;0.09945;-0.49725
;7.3;0.7956;0.09945;-0.49725
;7.4;0.7956;0;-0.49725
;7.5;0.7956;0;0
