Meta;Zeit [s];Strecke [m]
22.12.2010;0;0
Auto-Strecke;0.1;0.01989
N.Gautschi,T.Senti;0.2;0.00995
5;0.3;0.03978
m;0.4;0.02984
notused;0.5;0.03978
notused;0.6;0.04972
Masse = 760.75g|Gegengewicht = 74g|Winkel = 5 Grad;0.7;0.05967
;0.8;0.05967
;0.9;0.07956
;1;0.08951
;1.1;0.09945
;1.2;0.1094
;1.3;0.12929
;1.4;0.13923
;1.5;0.15912
;1.6;0.16907
;1.7;0.1989
;1.8;0.21879
;1.9;0.23868
;2;0.22873
;2.1;0.24863
;2.2;0.27846
;2.3;0.3083
;2.4;0.32819
;2.5;0.34808
;2.6;0.36797
;2.7;0.38786
;2.8;0.40775
;2.9;0.43758
;3;0.45747
;3.1;0.47736
;3.2;0.5072
;3.3;0.53703
;3.4;0.56687
;3.5;0.58676
;3.6;0.61659
;3.7;0.64643
;3.8;0.67626
;3.9;0.70609
;4;0.73593
;4.1;0.76577
;4.2;0.80555
