META;X;Y1 [s];Y2 [m/s];Y3 [m/s^2]
29.12.2010;0;0.008;0;0.496
Auto - Strecke-Ges-Bes;0.1;0.018;0.099;0.496
C. Gruber, A. Zwahlen;0.2;0.028;0.099;0
1;0.3;0.038;0.099;0.496
m|m/s|m/s^2;0.4;0.058;0.198;0.496
not used;0.5;0.078;0.198;0
not used;0.6;0.097;0.199;-0.496
Masse 1 = 255g|Gegengewicht = 30g|Winkel = 5;0.7;0.107;0.099;0
;0.8;0.127;0.198;0.496
;0.9;0.147;0.199;0.496
;1;0.177;0.298;0.496
;1.1;0.207;0.298;0
;1.2;0.236;0.298;-0.496
;1.3;0.256;0.198;0.496
;1.4;0.296;0.397;0.496
;1.5;0.326;0.298;0
;1.6;0.365;0.397;0.496
;1.7;0.405;0.397;0
;1.8;0.445;0.397;0.496
;1.9;0.494;0.496;0
;2;0.534;0.397;0
;2.1;0.584;0.496;0
;2.2;0.623;0.397;0
;2.3;0.673;0.496;0.496
