META;X;Y1 [s];Y2 [m/s];Y3 [m/s^2]
22.12.2010;0;0.018;0;0.496
Auto - strecke-ges-bes;0.1;0.028;0.099;0.992
C. Gruber, A. Zwahlen;0.2;0.048;0.198;0.992
3;0.3;0.078;0.298;0
m|m/s|m/s^2;0.4;0.097;0.199;-0.496
not used;0.5;0.117;0.198;0.496
not used;0.6;0.147;0.298;0.496
Masse = 255g|Gegengewicht = 35g|Winkel = 5;0.7;0.177;0.298;0
;0.8;0.207;0.298;1.489
;0.9;0.266;0.595;0
;1;0.296;0.298;-0.496
;1.1;0.346;0.496;0.992
;1.2;0.395;0.496;0.496
;1.3;0.455;0.596;0.496
;1.4;0.514;0.595;0
;1.5;0.574;0.595;0.496
;1.6;0.643;0.695;0.496
